WORLD 3 V17 — รายงานตรวจสอบภารกิจทั้ง 20 ด่าน

วิธีตรวจ:
- จำลองเฉลยที่บันทึกไว้ทีละก้าว
- ตรวจการชนสิ่งกีดขวางและไดโนเสาร์
- ตรวจการเก็บไข่ → ฟอสซิล → อำพันตามลำดับ
- ใช้ Breadth-First Search หาเส้นทางผ่านจริงโดยอิสระจากเฉลยเดิม
- ตรวจว่า Start / Camp / Samples / Hazards ไม่วางทับกัน

ด่าน 01: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 13 จุด | ตัวอย่าง [41, 18, 2]
ด่าน 02: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 14 จุด | ตัวอย่าง [2, 25, 35]
ด่าน 03: ผ่านได้จริง | เฉลย 20 ก้าว | เส้นทางสั้นสุด 20 ก้าว | อันตราย 15 จุด | ตัวอย่าง [12, 35, 30]
ด่าน 04: ผ่านได้จริง | เฉลย 20 ก้าว | เส้นทางสั้นสุด 20 ก้าว | อันตราย 12 จุด | ตัวอย่าง [6, 33, 16]
ด่าน 05: ผ่านได้จริง | เฉลย 16 ก้าว | เส้นทางสั้นสุด 16 ก้าว | อันตราย 13 จุด | ตัวอย่าง [20, 10, 6]
ด่าน 06: ผ่านได้จริง | เฉลย 20 ก้าว | เส้นทางสั้นสุด 18 ก้าว | อันตราย 14 จุด | ตัวอย่าง [34, 13, 16]
ด่าน 07: ผ่านได้จริง | เฉลย 16 ก้าว | เส้นทางสั้นสุด 16 ก้าว | อันตราย 15 จุด | ตัวอย่าง [37, 41, 20]
ด่าน 08: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 12 จุด | ตัวอย่าง [13, 8, 29]
ด่าน 09: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 14 จุด | ตัวอย่าง [32, 35, 14]
ด่าน 10: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 15 จุด | ตัวอย่าง [17, 21, 7]
ด่าน 11: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 16 จุด | ตัวอย่าง [22, 28, 42]
ด่าน 12: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 13 จุด | ตัวอย่าง [36, 8, 12]
ด่าน 13: ผ่านได้จริง | เฉลย 18 ก้าว | เส้นทางสั้นสุด 18 ก้าว | อันตราย 14 จุด | ตัวอย่าง [2, 7, 28]
ด่าน 14: ผ่านได้จริง | เฉลย 20 ก้าว | เส้นทางสั้นสุด 20 ก้าว | อันตราย 15 จุด | ตัวอย่าง [8, 36, 40]
ด่าน 15: ผ่านได้จริง | เฉลย 17 ก้าว | เส้นทางสั้นสุด 17 ก้าว | อันตราย 16 จุด | ตัวอย่าง [15, 20, 6]
ด่าน 16: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 13 จุด | ตัวอย่าง [34, 29, 8]
ด่าน 17: ผ่านได้จริง | เฉลย 20 ก้าว | เส้นทางสั้นสุด 20 ก้าว | อันตราย 14 จุด | ตัวอย่าง [42, 7, 2]
ด่าน 18: ผ่านได้จริง | เฉลย 21 ก้าว | เส้นทางสั้นสุด 21 ก้าว | อันตราย 15 จุด | ตัวอย่าง [31, 35, 14]
ด่าน 19: ผ่านได้จริง | เฉลย 18 ก้าว | เส้นทางสั้นสุด 18 ก้าว | อันตราย 16 จุด | ตัวอย่าง [9, 13, 34]
ด่าน 20: ผ่านได้จริง | เฉลย 19 ก้าว | เส้นทางสั้นสุด 19 ก้าว | อันตราย 13 จุด | ตัวอย่าง [28, 22, 36]

ผลรวม: ผ่านการตรวจสอบครบ 20/20 ด่าน
หมายเหตุ: เวอร์ชันนี้จะสุ่มเฉพาะด่านที่ผ่านระบบตรวจสอบอัตโนมัติเท่านั้น
